Date,SPX Index,USGG10YR Index,CL1 Comdty,lbustruu index,MXEF Index,JPY Curncy,GC1 Comdty,SPX Volume
1/7/00,1441.47,6.52,24.22,833.27,492.1,105.34,282.9,5884444736
1/14/00,1465.15,6.68,28.02,829.45,515.63,105.87,284.9,5552000576
1/21/00,1441.36,6.77,28.2,828.15,507.49,104.78,289.7,4515951360
1/28/00,1360.16,6.66,27.22,833.71,499.05,107.13,283,5723173504
2/4/00,1424.37,6.55,28.82,834.8,515.43,107.19,310.4,5253129984
2/11/00,1387.12,6.6,29.44,832.34,529.45,108.82,311.1,5066910784
2/18/00,1346.09,6.49,29.51,836.8,518.6,111.09,305.2,5165307072
2/25/00,1333.36,6.33,30.35,842.26,505.52,110.29,293,4482513408
3/3/00,1409.17,6.39,31.51,843.75,516.31,107.9,290.3,6101699968
3/10/00,1395.07,6.38,31.76,842.1,518.63,106.35,290,5948404736
3/17/00,1464.47,6.19,30.91,847.89,499.91,106.73,285,6566994304
3/24/00,1527.46,6.19,28.02,846.87,514.12,106.87,285.1,5533777856
3/31/00,1498.58,6,26.9,852.15,499.4,102.78,278.4,5663264896
4/7/00,1516.35,5.85,25.04,859,500.3,105.37,279.8,6435973632
4/14/00,1356.56,5.85,25.57,858.42,464.27,104.74,282.6,6417345216
4/21/00,1434.54,5.99,25.88,857.65,450.56,105.77,279.7,4871704576
4/28/00,1452.43,6.21,25.74,849.71,451.36,108.18,274.7,5590194880
5/5/00,1432.63,6.51,27.29,837.8,446.25,108.56,280.1,5001552960
5/12/00,1420.96,6.51,29.62,836.72,431.91,108.47,276.9,5046275328
5/19/00,1406.95,6.49,29.89,838.39,425.34,106.98,274.6,4750241408
5/26/00,1378.02,6.33,30,847.56,410.21,107.15,272.2,5588736256
6/2/00,1477.26,6.15,30.35,857.47,448.7,108.03,281.4,4455308800
6/9/00,1456.95,6.13,30.2,860.13,453.12,106.91,283.6,4607458560
6/16/00,1464.46,5.97,32.33,867.43,443.93,106.41,288.7,5317238656
6/23/00,1441.48,6.19,32.25,859.33,439.09,104.75,282.7,5139982656
6/30/00,1454.6,6.03,32.5,866.99,445.52,106.12,291.5,5488617984
7/7/00,1478.9,6,30.28,870.91,451.7,107.91,284.6,3524500960
7/14/00,1509.98,6.1,31.4,869.7,454.95,107.72,281.9,5228812864
7/21/00,1480.19,6,28.56,874.54,442.43,108.92,280.6,5423666560
7/28/00,1419.89,6.03,28.18,874.41,421.13,109.59,277.7,5703870400
8/4/00,1462.93,5.9,29.96,881.02,423.5,108.65,272.6,5482343872
8/11/00,1471.84,5.79,31.02,882.6,425.76,108.53,275.1,5243025536
8/18/00,1491.72,5.77,31.99,883.65,429.85,108.41,276.8,4854652224
8/25/00,1506.45,5.73,32.03,886.97,426.79,106.86,274.1,4374625856
9/1/00,1520.77,5.68,33.38,889.65,423.72,106,278.3,4835151360
9/8/00,1494.5,5.74,33.63,888.86,419.29,106.12,274.2,4514039424
9/15/00,1465.81,5.84,35.92,887.39,405.85,107.12,273,6461453888
9/22/00,1448.72,5.85,32.68,889.42,377.62,107.92,272.3,6742296960
9/29/00,1436.51,5.8,30.84,893.12,386.03,108.14,273.6,6891852160
10/6/00,1408.99,5.81,30.86,892.89,383.29,108.81,269.3,7262221440
10/13/00,1374.17,5.72,34.99,896.14,355.18,107.83,272.4,7561463936
10/20/00,1396.93,5.63,33.75,900.91,358.51,108.85,271.2,7962214528
10/27/00,1379.58,5.71,32.74,899.84,357.06,108.65,264.4,7701422720
11/3/00,1426.69,5.83,32.71,898.16,369.45,107.08,266.1,7661432704
11/10/00,1365.98,5.78,34.02,899.97,365.18,107.87,265.5,6651913344
11/17/00,1367.72,5.7,35.45,903.9,353.96,108.77,266.2,6926217472
11/24/00,1341.77,5.62,35.4,906.63,338.9,111.28,266.7,4429275264
12/1/00,1315.23,5.5,32.02,911.58,329.31,111.29,268.7,7759158016
12/8/00,1369.89,5.3,28.44,920.13,348.24,111.04,272.2,8146635520
12/15/00,1312.15,5.18,28.87,927.02,340.92,112.58,270.4,8593495168
12/22/00,1305.97,5.01,26.18,933.01,330.81,112.88,273.7,8797200768
12/29/00,1320.28,5.11,26.8,930.68,333.79,114.41,273.6,4878179200
1/5/01,1298.35,4.93,27.95,943.45,348.56,116.53,269,8700395136
1/12/01,1318.32,5.25,30.05,934.03,353.23,118.55,264.6,8570947968
1/19/01,1342.54,5.17,32.19,939.64,370.48,117.18,264.9,7293202048
1/26/01,1354.95,5.27,29.77,938.91,370.79,117.18,262.9,8283642752
2/2/01,1349.47,5.15,31.19,945.85,376.73,115.75,267.1,7319574016
2/9/01,1314.76,5.03,31.03,946.79,368.18,117.5,259.9,7453346560
2/16/01,1301.53,5.11,29.16,944.31,369.21,115.73,258.2,7747227392
2/23/01,1245.86,5.1,29.04,945.84,348.09,115.8,260.9,7112606592
3/2/01,1234.18,4.95,27.84,952.41,344.01,119.01,263.1,8848566912
3/9/01,1233.42,4.93,28.01,954.95,346.43,119.53,271.5,7615325952
3/16/01,1150.53,4.77,26.74,961.59,326.44,123.03,258.4,9543530240
3/23/01,1139.83,4.82,27.3,961.79,317.19,122.76,261.7,9377460736
3/30/01,1160.33,4.92,26.29,958.93,313.14,126.34,257.9,8552606720
4/6/01,1128.43,4.89,27.06,962.47,304.98,123.77,260,9209594496
4/13/01,1183.5,5.16,28.25,954.17,312.83,124.2,260.1,6755444224
4/20/01,1242.98,5.29,27.28,954.11,319.11,122.54,264.8,9789397248
4/27/01,1253.05,5.33,28.27,954.1,323.73,124,264.3,7741914112
5/4/01,1266.61,5.21,28.36,962.82,329.55,121.35,266.5,7902785792
5/11/01,1245.67,5.45,28.55,952.03,326.97,122.51,268.3,6373288512
5/18/01,1291.96,5.41,29.91,957.91,333.5,123.5,287.8,7171194624
5/25/01,1277.89,5.51,28.38,955.31,335.56,120.65,278.2,7158266752
6/1/01,1260.67,5.36,27.93,962.59,329.44,119.24,266.4,5494150656
6/8/01,1264.96,5.36,28.33,963.82,334.64,120.94,273.4,6120355904
6/15/01,1214.36,5.23,28.51,969.25,326.99,122.93,271.2,7110724352
6/22/01,1225.35,5.12,26.83,974.63,322.63,124.5,272.3,7876559232
6/29/01,1224.42,5.41,26.25,964.34,322.89,124.65,271.3,7650725248
7/6/01,1190.59,5.36,28.21,967.37,311.42,125.87,266.6,4349198272
7/13/01,1215.68,5.22,26.59,972.62,301.84,124.94,267.6,7602968832
7/20/01,1210.85,5.13,25.59,979.78,297.69,122.98,270.2,7815499136
7/27/01,1205.82,5.1,27.02,982.71,299.95,123.53,267.4,6886060800
8/3/01,1214.35,5.16,27.62,981.47,306.89,123.66,267.9,6521228608
8/10/01,1190.16,4.98,28.05,987.7,301.69,122.01,273.9,5965498688
8/17/01,1161.97,4.84,26.68,992.25,300.45,120.24,279.3,5804221184
8/24/01,1184.93,4.92,26.9,991.67,298.74,120.03,272.5,6093199296
8/31/01,1133.58,4.83,27.2,997.19,298.17,118.79,275.1,6294087168
9/7/01,1085.78,4.79,28.03,998.55,290.16,120,273.8,7024823552
9/14/01,1092.54,4.55,29.53,1005.61,260.87,117.35,291.1,1577862460
9/21/01,965.8,4.69,25.97,1002.47,245.64,116.58,291.9,12285591168
9/28/01,1040.94,4.59,23.43,1008.81,251.4,119.56,292.4,9845394432
10/5/01,1071.38,4.5,22.39,1014.26,252.79,120.51,291.4,9599148160
10/12/01,1091.65,4.67,22.5,1010.2,262.86,121.12,284.9,8424584960
10/19/01,1073.48,4.62,21.83,1015.01,264.01,121.2,280.1,8027669248
10/26/01,1104.61,4.53,22.03,1019.48,271.53,122.7,277.9,8398519936
11/2/01,1087.2,4.36,20.18,1025.62,269.96,121.73,280.8,8001871232
11/9/01,1120.31,4.3,22.22,1030.3,279.98,120.32,277.7,8697740416
